userid,course_number,question_number,question_content,answer_content,grade
C-2021-2_U96,1,1,今日の内容を自分なりの言葉で説明してみてください,各種システムの説明。そのあと情報科学とは何かという説明や、これまでの情報の伝え方について学んだ。,F
C-2021-2_U96,1,2,今日の内容で、分かったこと・できたことを書いてください,各種システムの使い方の把握。これまでの情報の簡単な歴史の把握。,F
C-2021-2_U96,1,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特にありません。,F
C-2021-2_U96,1,4,質問があれば書いてください,一度引いたマーカーの消し方がわかりません。,F
C-2021-2_U96,1,5,今日の授業の感想や反省を書いてください,情報科学についておおよそどのようなものなのか理解することができた。これからの授業が楽しみ。,F
C-2021-2_U96,2,1,今日の内容を自分なりの言葉で説明してみてください,情報の二進数的表記、情報の符号化とその短さ、エントロピーなど,F
C-2021-2_U96,2,2,今日の内容で、分かったこと・できたことを書いてください,情報量をより少なくするために符号の組み合わせを考える必要があることを理解できた。,F
C-2021-2_U96,2,3,今日の内容で、分からなかったこと・できなかったことを書いてください,エントロピーの概念についてまだ完全に理解できていません。復習しておきます。,F
C-2021-2_U96,2,5,今日の授業の感想や反省を書いてください,中途半端な予習であったので、授業内容をしっかり理解するのに時間がかかった。次の授業はしっかり予習をして臨みたい。,F
C-2021-2_U96,3,1,今日の内容を自分なりの言葉で説明してみてください,情報量の式やその期待値、相互情報量,F
C-2021-2_U96,3,2,今日の内容で、分かったこと・できたことを書いてください,情報量の期待値について理解することができた。エントロピーについても、ようやく理解することができた。,F
C-2021-2_U96,3,3,今日の内容で、分からなかったこと・できなかったことを書いてください,相互情報量について。うまく理解できなかった。,F
C-2021-2_U96,3,5,今日の授業の感想や反省を書いてください,だんだん内容のレベルが上がっているように感じられるが、しっかり聞いて理解していきたい。,F
C-2021-2_U96,4,1,今日の内容を自分なりの言葉で説明してみてください,ビットの反転、誤り検出、ハミング距離、繰り返し符号、検査ビットなど,F
C-2021-2_U96,4,2,今日の内容で、分かったこと・できたことを書いてください,ほとんどの内容を理解できた。少し先に進みながら授業を受けることができた。,F
C-2021-2_U96,4,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特にないです。,F
C-2021-2_U96,4,5,今日の授業の感想や反省を書いてください,一番初めに検査ビットを思いついた人はとても賢いと少し感動した。だんだん情報科学の授業が面白くなってきたので、このまま意欲をもって取り組み続けたいと思う。,F
C-2021-2_U96,5,1,今日の内容を自分なりの言葉で説明してみてください,小テスト、アルゴリズムについて、天秤問題から考える公式など,F
C-2021-2_U96,5,2,今日の内容で、分かったこと・できたことを書いてください,一見難しいことを書いているように見えるところも、一つ一つ落ち着いて理解していくとおおまかに理解することができた。,F
C-2021-2_U96,5,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし,F
C-2021-2_U96,5,4,質問があれば書いてください,特にないです。,F
C-2021-2_U96,5,5,今日の授業の感想や反省を書いてください,"ある程度の予習や前知識があったので、話しているところよりもどんどん先に進むことができた。
この調子でこれからも頑張っていきたい。",F
C-2021-2_U96,6,1,今日の内容を自分なりの言葉で説明してみてください,練習問題の復習、ユークリッドの互除法、バブルソート、アルゴリズムなど,F
C-2021-2_U96,6,2,今日の内容で、分かったこと・できたことを書いてください,ユークリッドの互除法を高校生の時よりも深く理解することができた。,F
C-2021-2_U96,6,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし,F
C-2021-2_U96,6,4,質問があれば書いてください,特になし,F
