userid,course_number,question_number,question_content,answer_content,grade
D-2022_U5,1,1,今日の内容を自分なりの言葉で説明してみてください,次の授業までに前回の授業を手書きノートにまとめてアップ、次回の資料を見てわかるところとわからないところを確認してbookrollに反映しておく,D
D-2022_U5,1,2,今日の内容で、分かったこと・できたことを書いてください,知識マップの使い方、図書館LGCの使い方。,D
D-2022_U5,1,3,今日の内容で、分からなかったこと・できなかったことを書いてください,"特にありません。
",D
D-2022_U5,1,4,質問があれば書いてください,とくにありません。,D
D-2022_U5,1,5,今日の授業の感想や反省を書いてください,授業の進め方は理解できました。,D
D-2022_U5,2,1,今日の内容を自分なりの言葉で説明してみてください,連続時間信号と離散時間信号など様々な形態がある。ディジタル信号の変換はいくつか手順があって、A/D変換やD/A変換をするときに余計な高調波成分をカットするフィルターなどが必要。,D
D-2022_U5,2,2,今日の内容で、分かったこと・できたことを書いてください,ディジタル変換処理の概要について少し理解することができた。,D
D-2022_U5,2,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特にありません。,D
D-2022_U5,2,4,質問があれば書いてください,特にありません。,D
D-2022_U5,2,5,今日の授業の感想や反省を書いてください,今後の授業で学習していくことのトピックについてのさわりを理解できた。,D
D-2022_U5,11,1,今日の内容を自分なりの言葉で説明してみてください,ディジタルフィルタの設計で必要な基礎知識と、有限時間インパルス応答フィルタの実装、窓関数の具体例などを学んだ。,D
D-2022_U5,11,2,今日の内容で、分かったこと・できたことを書いてください,直線位相と、FIRフィルタの実装の仕方については理解できた。,D
D-2022_U5,11,3,今日の内容で、分からなかったこと・できなかったことを書いてください,演習の最後にあった、FIRフィルタの振幅特性と位相特性がうまく求められなかった。,D
D-2022_U90,1,1,今日の内容を自分なりの言葉で説明してみてください,イントロダクション，様々な学習システムの使い方を知る．,A
D-2022_U90,1,2,今日の内容で、分かったこと・できたことを書いてください,授業の形態，知識マップの作成方法，図書館LGCのある程度の使い方．,A
D-2022_U90,1,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特になし．,A
D-2022_U90,1,5,今日の授業の感想や反省を書いてください,デジタル教科書が便利そう．,A
D-2022_U90,2,1,今日の内容を自分なりの言葉で説明してみてください,デジタル信号処理の概要について学ぶ．,A
D-2022_U90,2,2,今日の内容で、分かったこと・できたことを書いてください,"信号は連続時間，離散時間，連続振幅，離散振幅という観点から分類される．
アナログ信号は標本化，量子化，符号化を経てデジタル信号に変換される．
標本化定理を満たさないとうまくD/A変換できない．",A
D-2022_U90,2,3,今日の内容で、分からなかったこと・できなかったことを書いてください,デジタル教科書をまだ使いこなせていなと思う．,A
