userid,course_number,question_number,question_content,answer_content,grade
D-2021_U3,4,1,今日の内容を自分なりの言葉で説明してみてください,非周期信号の考え方とフーリエ変換の性質,D
D-2021_U3,4,2,今日の内容で、分かったこと・できたことを書いてください,インパルス関数がわかった,D
D-2021_U3,4,3,今日の内容で、分からなかったこと・できなかったことを書いてください,畳み込みのイメージがわからなかった,D
D-2021_U3,5,1,今日の内容を自分なりの言葉で説明してみてください,サンプリングとエイリアシング,D
D-2021_U3,5,2,今日の内容で、分かったこと・できたことを書いてください,標本化定理,D
D-2021_U3,5,5,今日の授業の感想や反省を書いてください,全体的になんとなくわかった、程度になっているのが反省点。,D
D-2021_U3,6,1,今日の内容を自分なりの言葉で説明してみてください,z変換,D
D-2021_U3,6,2,今日の内容で、分かったこと・できたことを書いてください,z変換のやり方,D
D-2021_U3,6,3,今日の内容で、分からなかったこと・できなかったことを書いてください,零点や極の使い方,D
D-2021_U3,6,5,今日の授業の感想や反省を書いてください,変換が多少わかってきた,D
D-2021_U3,8,1,今日の内容を自分なりの言葉で説明してみてください,離散時間システムの構成,D
D-2021_U3,8,2,今日の内容で、分かったこと・できたことを書いてください,システム関数の導出,D
D-2021_U3,8,3,今日の内容で、分からなかったこと・できなかったことを書いてください,周波数特性の計算,D
D-2021_U3,8,5,今日の授業の感想や反省を書いてください,極と零点の説明がわかりやすかった,D
D-2021_U3,9,1,今日の内容を自分なりの言葉で説明してみてください,全体の繋がりをまとめた。,D
D-2021_U3,9,2,今日の内容で、分かったこと・できたことを書いてください,Z変換周りの関係やZ変換の位置づけがわかった。,D
D-2021_U3,9,5,今日の授業の感想や反省を書いてください,マーカーを引いたところの文字の読み取りが悪すぎて苦労した。読み取った文字を編集できる機能を後になって気が付いて良かったが、改善を望む。,D
D-2021_U3,11,1,今日の内容を自分なりの言葉で説明してみてください,離散フーリエ変換,D
D-2021_U3,11,2,今日の内容で、分かったこと・できたことを書いてください,離散フーリエ変換について離散値の計算をすることで理解が深まった,D
D-2021_U3,11,3,今日の内容で、分からなかったこと・できなかったことを書いてください,離散時間フーリエ変換とは、みたいなのが理解できなかった,D
D-2021_U3,12,1,今日の内容を自分なりの言葉で説明してみてください,高速フーリエ変換の演算と信号の流れ,D
D-2021_U3,12,2,今日の内容で、分かったこと・できたことを書いてください,信号の流れ図を書けるようになった,D
D-2021_U3,12,5,今日の授業の感想や反省を書いてください,何度も会いながら復習したらできるようになった,D
D-2021_U76,1,1,今日の内容を自分なりの言葉で説明してみてください,ガイダンス,A
D-2021_U76,1,2,今日の内容で、分かったこと・できたことを書いてください,"授業はオンライン中心で、自分でノートを作ることで理解を深める。
moodleの様々な機能を活用する。
課題と予習をする。",A
D-2021_U76,1,3,今日の内容で、分からなかったこと・できなかったことを書いてください,ありません,A
D-2021_U76,1,4,質問があれば書いてください,ありません,A
D-2021_U76,1,5,今日の授業の感想や反省を書いてください,資料がわかりやすく、授業の予定がよく理解できた。,A
D-2021_U76,2,1,今日の内容を自分なりの言葉で説明してみてください,"信号は時間と振幅がそれぞれ連続か離散かで４種類に分かれる。
ディジタル信号の方が処理をしやすいため、アナログ信号をディジタル信号に変換する。
そのためには、標本化、量子化、符号化の過程を踏む。
ディジタル信号から復元するときにエイリアスが生じないように、アナログ信号の周波数成分とサンプリング周波数を考える必要がある（標本化定理）。",A
D-2021_U76,2,2,今日の内容で、分かったこと・できたことを書いてください,信号処理が様々な分野に応用されていることがわかった。,A
D-2021_U76,2,3,今日の内容で、分からなかったこと・できなかったことを書いてください,特にないです。,A
D-2021_U76,2,4,質問があれば書いてください,ないです。,A
D-2021_U76,2,5,今日の授業の感想や反省を書いてください,信号処理の応用例がわかり、この勉強がどこに繋がるかなんとなくイメージできたのがよかった。,A
D-2021_U76,3,1,今日の内容を自分なりの言葉で説明してみてください,"周期信号はフーリエ級数展開できる。
複素数ですると計算が楽。",A
D-2021_U76,3,2,今日の内容で、分かったこと・できたことを書いてください,式を自分で導出できた。,A
D-2021_U76,3,3,今日の内容で、分からなかったこと・できなかったことを書いてください,大体大丈夫です。,A
D-2021_U76,3,4,質問があれば書いてください,ありません。,A
D-2021_U76,3,5,今日の授業の感想や反省を書いてください,たくさん演習できたのでよかった。,A
D-2021_U76,4,1,今日の内容を自分なりの言葉で説明してみてください,"非周期信号は非連続スペクトルではなく連続スペクトルで表される。
フーリエ級数展開からフーリエ変換になる。",A
D-2021_U76,4,2,今日の内容で、分かったこと・できたことを書いてください,周期信号から非周期信号へ考え方を広げることができた。,A
D-2021_U76,4,3,今日の内容で、分からなかったこと・できなかったことを書いてください,フーリエ変換の性質を全部頭に入れられなかった。,A
D-2021_U76,4,4,質問があれば書いてください,ありません。,A
D-2021_U76,4,5,今日の授業の感想や反省を書いてください,インターネットで検索するなどして理解を深められた。,A
