userid,1,2,3,4,5,target
B-2020_U10,,"""Data fabrication, falsification, and plagiarism are illegal acts that should never be done.
When citing, the reference must be clearly stated. ""","""I fell asleep only a little on the way""",,,0
B-2020_U11,,,"""I vaguely understand the privacy policy, but I don't know the details.""",,"""Today, we learned something that we need to think about very carefully in the future. I think that research will start in the third year, and I think that science students need to be especially careful. .""",1
B-2020_U13,,"""I learned a lot about the ethics required for research.""","""The information ethics rules were difficult and there were parts I didn't understand.""",,,1
B-2020_U14,"""Rules to follow and ethics to have when doing research""",,"""I didn't know what kind of effect I could expect from a single blind.""",,,1
B-2020_U15,"""As a responsible researcher, I will conduct research objectively without committing fraud in accordance with research ethics. I will conduct peer review to increase objectivity. Various problems may arise in joint research with companies. Communication is important because there is a conflict of interest.Conflict of interest is a situation where objectivity may be lost by considering personal interests.Kyushu University has information ethics regulations and security policies. """,,,,,1
B-2020_U16,,"""Kyushu University must have an information ethics code and its content.""",,,,0
B-2020_U17,"""Not all rules for conducting research are written down, and much depends on individual ethics. In order to avoid emotional mistakes and friction with co-researchers and companies, we forget to maintain a sincere attitude. It is important to review each other with experts and researchers around you first.If you commit research misconduct that affects various fields, you may not be able to fulfill your responsibility to protect the interests of your clients. Measures and guidelines for each organization have been established, and it is necessary to check the security policy of the organization to which you belong.""",,,,,0
B-2020_U18,"""Sense of Responsibility in Research, Causes and Countermeasures of Research Misconduct, Problems of Conflicts of Interest, Information Ethics at Kyushu University""",,,,,1
B-2020_U19,"""When conducting research activities at universities and other research institutes, there are rules that must be followed, even though they are not necessarily written down. It is important to be aware of the social responsibility we have.In addition, research activities emphasize the protection of individuals and ethics, which contribute to the development of society.However, even in the current environment, research misconduct is happening, so there is room for improvement.""","""I learned that morals and ethics create an environment that facilitates research. I was able to understand the motives behind fraud. I was able to think about fraud in my own way.""",,,,0
B-2020_U21,,"""I learned about fraud in research and the ethics of conducting objective research.
It was a very meaningful class because I hadn't thought about it yet because it was something I had to protect and always keep in mind. ""","""I wasn't able to correctly apply what I learned today in Serious Games.""",,"""It was knowledge that would become necessary and important when I was in my fourth year writing a graduation thesis, so I decided to research it myself and understand it more deeply and correctly.""",-1
B-2020_U22,"""Individuals should pay attention to many attitudes towards research, such as research ethics and information ethics. It is also important for countries and organizations to stipulate and indicate norms to some extent.""",,,,"""In this class, I understood that I have to be careful about my attitude toward research and writing papers, so when I become a third or fourth year student and conduct research activities, I will pay close attention to these points. I felt like I should be conscious of it.""",1
B-2020_U23,,"""I want to learn morals and rules before doing research and writing papers so as not to put myself at a disadvantage or cause trouble to others.""",,,,0
B-2020_U24,"""In this lecture, I learned about ethics as a researcher and information ethics. Regarding research ethics, I learned about ethics as a researcher. In information ethics, we learned about information ethics regulations at Kyushu University, information management and classification, and physical security protection policies. is.""","""I was able to know what to think when I assumed that I was doing research. It was easy to create because I was in a hurry to falsify data, and because I was confident in my own assumptions. I thought I'd be careful when I decided to do it.""",,,"""Since I had to participate in the middle of the class due to a problem, I decided to come 10 minutes before the next class and deal with it quickly. I might be going to graduate school in science, so this time I felt closer to you. Also for research. I was surprised that there were rules that I should know, but I wanted to act with the thought that there are rules everywhere, like this time.""",0
B-2020_U26,"""Ethics and information handling in research""","""Research Misconduct/Research Ethics in Collaborative Research""",,,,0
B-2020_U31,,,,,"""Today's class was originally something I vaguely understood, but it will be very important for our own research three years from now, so we would like to take this opportunity to understand it thoroughly. Also, when we submit our report assignments, We would like to clarify the source and handle the information appropriately.""",1
B-2020_U32,""" Research activities must be conducted honestly, accurately, and objectively, and must be conducted efficiently in order to use limited resources without waste. Recognizing that individual researchers have different attitudes toward research, attitudes toward sharing results, and economic needs, when conducting joint research, It is necessary to establish proper communication, division of roles, authorship, and leadership.Conflicts of interest are those that give priority to personal interests and lose the objectivity that should be there, making research misconduct more likely to occur. It's a state of being, and it's often caused by feelings that don't have a form.""",,,,,0
B-2020_U33,,,"""There's nothing in particular that I didn't understand, but I wanted to know a few specific examples of conflicts of interest.""",,"""I felt it took too long to review.
I thought what I did today was a matter of course, but I was afraid that I wouldn't be able to get away with not knowing. """,0
B-2020_U34,"""During research activities, it is required to conduct research responsibly and in accordance with the code of conduct. In addition, research misconduct such as fabrication, falsification, and plagiarism must not be performed, and research data must be handled ethically. No. Peer review is usually performed by peer review.In joint research, we must understand each other's differences and be careful not to cause problems.By considering interests. A situation in which objectivity is lost is called a conflict of interest, and it is often due to academic obsession.
Kyushu University has established information ethics regulations and security policies regarding the use of information assets. ""","""I learned that I have to be careful when conducting research.""",,,,1
B-2020_U35,"""Research etiquette""",,,,,0
B-2020_U36,"""Various Points to Note in Research""","""I was able to understand what is important for my future research.""",,,"""I was able to develop a vague understanding of fraud in research.""",1
B-2020_U38,,"""It goes without saying, but of course there are ethics in research. Ethics are not something that can be firmly defined in writing, but I also learned that there are guidelines and norms to prevent them.""",,,,0
B-2020_U39,"""Research presentations must not be dishonest, and if they do, credibility will be lost in various ways. To prevent this from happening, always maintain a neutral standpoint and conduct thorough preliminary surveys and peer reviews."" is important.""","""Kyushu University also has an information ethics code.""",,,,1
B-2020_U4,,,,,"""This ethics was about social honor, so I realized the need to know the rules and guidelines without being lazy.
I felt that learning the fundamentals of cyber security is important not only as an academic subject, but also for living. """,1
B-2020_U40,,"""In research, there are many things that must be taken care of. In particular, we must be very careful in handling information used in research.""",,"""When using other people's data in my research, should I just write the source without their consent, or is it better to write the source with their consent as much as possible?""",,1
B-2020_U41,"""Research is carried out to create a better society and to elucidate how the world works. People involved in research are required to be honest and sincere. Research is neutral and objective. The content should have a sexual nature, so there should be no falsification, fabrication, or plagiarism.A situation of conflict of interest may occur due to results-based, financial problems, and biased opinions.Individual researchers and organizations may not share information. Getting the morals right is very important.""",,,,,-1
B-2020_U43,"""When doing research, you must be honest without being bound by your own wishes.""",,,,,1
B-2020_U44,,"""I learned how to avoid cheating when doing research and writing papers.""","""I forgot to draw a marker where I didn't know when I was preparing.""",,"""I would like to make use of what I learned today when conducting research in the future.""",-1
B-2020_U45,,"""I thought it would be better to get opinions from various points of view on papers, etc., so I was surprised to receive opinions from the same research experts in the peer review talks.""","""I think sponsors tend to have a stronger position, so I was curious as to what was done specifically to ensure that research was conducted ethically.""",,,0
B-2020_U46,"""When conducting research, we must observe research ethics and conduct research activities responsibly. Research ethics are ambiguous, but research should be published to contribute to the rank, be neutral, and be objective. Research misconduct includes fabrication, falsification, plagiarism, etc. It is a betrayal of society and affects the group to which one belongs and the individual. and the Code of Conduct for Members of the Chemical Society of Japan, etc. Peer review is a way to improve the quality of papers.People in the same field review papers before they are published.Reviewers are compulsory. There is an ethics of peer reviewers that must be observed even if they cannot do so, and to ensure fairness, it is good practice to set a single blind that hides the name of the reviewer and a double blind that hides the name of the author. It is important not to impede the progress of society.""",,,,"""Thank you very much.
I realized once again that I am a university student and that I will be doing research and writing papers in the future. """,1
B-2020_U47,,,"""Peer reviews are conducted by volunteers, but how many people are involved?""",,,0
B-2020_U5,"""Contents about morals that individuals should have when doing research or handling information.""",,,,"""The day after I attended last week's class, my smartphone broke and I couldn't use it at all. The day before, we had talked about backing up data in class, and we had confirmed it, so there is a possibility that the data may be restored to some extent, but I was afraid.
Therefore, through today's class, I once again thought that there is no loss in acquiring a lot of senses such as security and ethics from an early stage. """,0
B-2020_U50,,"""It turns out that there is no such thing as a rulebook for research.""",,,,0
B-2020_U51,,,,,"""Even in today's class, I was able to work hard from my preparation, and learned about my responsibilities and roles in research.""",-1
B-2020_U53,,,,,"""When I conduct research in my senior year, I want to have a sense of responsibility and not cheat. I was convinced when I learned that information would be withheld in order to maintain impartiality in the review of papers.""",1
B-2020_U54,"""I have learned proper research methods and conduct that constitutes research misconduct.""","""I was able to understand the attitudes that are important in research. Honesty, accuracy, and so on all seem natural to me, but when it comes to doing research, I worry about the evaluations of others and feel pressure. I also felt that it might be difficult to carry out proper research because I do.""","""The organizational structure of Kyushu University was difficult. I didn't even know such a thing existed, so I want to learn more.""",,,0
B-2020_U56,,,"""I couldn't confirm what I would do when I was in a research position.""",,,-2
B-2020_U57,"""When conducting research, it is necessary to be conscious of efficiency, and to honestly and faithfully summarize the content of the report based on the results obtained. Anonymous reviewers review and check for conflicts of interest.Information ethics is the code of conduct necessary for handling information.Information ethics is the way of thinking and attitudes in the information society.""",,,,,1
B-2020_U58,"""Understand research neutrality, objectivity, fraud, and conflicts of interest.""",,,,,0
B-2020_U59,,"""I learned the importance of not committing fraud in research. I learned that research entails trust in society, professional groups, and individual researchers.""","""I had a hard time with the physical security protection policy.""",,,1
B-2020_U6,"""What research misconduct is, what countermeasures are being taken, and information ethics""",,,,"""When I start doing research in the future, of course I will not commit research misconduct, and I have learned that the surrounding environment is also a major cause of research misconduct. I also wanted to be careful.""",1
B-2020_U60,"""Ethics in Research and Morals in Handling Information""","""Reliability of research depends to some extent on the morals of researchers.
Another cause of fraud""",,,,0
B-2020_U62,,,,"""Nothing in particular""",,0
B-2020_U63,,,"""What should I do if I want to cite other literature in presenting my research results?
""",,"""I was relieved to learn that Kyushu University is also managing its information network properly.""",-2
B-2020_U64,,"""What constitutes research misconduct?""",,,,-1
B-2020_U65,,"""I didn't know there was a way to prevent authors and reviewers from knowing each other when reviewing research.""","""The slide for managing information network connections was a little difficult.""",,,0
B-2020_U67,,"""On Research Logic and Information Ethics""",,,"""I'm getting used to online classes""",1
B-2020_U68,,"""I learned about the Rinri that should be protected when conducting information and research.""",,,"""I want to keep what I learned this time.""",1
B-2020_U69,,"""I hadn't really thought about the possibility of research misconduct that could not be prevented by individual researchers' attention, such as conflicts of interest. made me think""","""I couldn't understand exactly what the last slide was about""",,,0
B-2020_U70,"""About research ethics and information ethics.""",,,,,0
B-2020_U71,,"""I have found that there are different principles for conducting research.""",,,,-1
B-2020_U73,"""Confirmation of norms and ethical manners for research, and ethical rules for information handling and storage""","""I was able to learn about general norms, neutrality, and objectivity in research. I was also able to understand the meaning and content of the related word 'conflict of interest.' """,,,,0
B-2020_U74,,,"""Detailed terms such as backdoors on page 30""","""Nothing in particular""","""I've run out of time to prepare for class, so next time I'll try to do it on Saturdays and Sundays.""",-1
B-2020_U77,,,,,"""I became worried about my graduation research after I became a fourth year student.""",0
B-2020_U79,"""When conducting research, there are ethics and rules that must be followed. If you do not follow them, not only will the credibility of the research itself decline, but you will also lose the trust of the person himself. It is important to conduct research purely without losing out.""","""I was able to learn the minimum things to follow when conducting research.""",,,,0
B-2020_U8,"""Understand what research is and what is necessary and what is not good about research ethics necessary when conducting research.
Then, we will understand information ethics while looking at the example of Kyushu University. ""","""I learned what kind of measures were taken to prevent research misconduct, and I thought that they were a matter of course for human beings.
I found that Kyushu University has solid rules and policies. ""","""Various organizations and groups have issued norms and guidelines, and it has become confusing.""",,"""I learned that research misconduct occurs in situations that occur only in humans, such as conflicts of interest, what constitutes misconduct, and how to prevent it.
I learned that the norms are different depending on the administration, and I was wondering which country's norms were the laxest.
Since I am a student at Kyushu University, I would like to understand the rules and policies of Kyushu University. """,1
B-2020_U81,,,,,"""In today's class, I learned a lot of points to note and important things to know about research. I have no plans to become a researcher, but I would like to make use of what I learned today in a different field."" think.""",1
B-2020_U83,,,,,"""These ethical issues are often featured in the news and become a hot topic, so I would like to avoid becoming a party to such things.""",0
B-2020_U84,,,,,"""From now on, when I conduct research, research misconduct may occur, so I have to be careful.""",-3
B-2020_U85,"""When conducting research, it is necessary to comply with research ethics, strictly follow written norms, and also follow unwritten rules.
""",,,,"""I'm nervous because I feel that research is unexpectedly close to my heart.""",1
B-2020_U86,"""When conducting research, it is important to have a fair and objective attitude, without being bound by personal interests. In addition, Kyushu University's information ethics regulations are stipulated in detail for the proper handling of data within the university. ""","""I learned that Kyushu University has a documented information security policy.""","""I could only vaguely understand what was on page 30.""",,,1
B-2020_U87,"""Ethical thinking and attitude is necessary when conducting research.
If you commit fraud, it will cause inconvenience to the people involved and you will lose credibility. """,,,,"""Occasionally, fraudulent research is reported in the news, so I think we must always keep ethical considerations in mind.
Even so, it seems that a certain number of people will commit fraud without any malice. """,0
B-2020_U89,,,,,"""As I have said in past lectures, security and human psychology are closely related, and I thought that the fight against security is a fight against weakness.""",1
B-2020_U9,,"""There are rules that researchers must follow, and I understand my responsibilities as an organization and as a researcher.""","""I'm not sure what you mean by 'disclose a conflict of interest'. """,,,1
B-2020_U92,"""I realized that research is not just for me.""",,,,,1
B-2020_U93,,"""What matters in research""",,,"""This time was easier than last time and the time before last""",-1
B-2020_U94,,,"""About the information regulation at Kyushu University. Words are difficult.""",,"""In the future, there will be more opportunities for research and the publication of papers, so I would like to cherish this kind of information ethics.""",-1
B-2020_U95,,,,,"""Until now, I had only a vague image of researchers doing research, but now that I understand that they are actually being conducted on the basis of principles and standards, my perspective has changed.""",0
C-2021-1_U10,,,"""Proof of U(M) = log₂M""",,"""The content of this time was difficult because there were a lot of calculations and definitions, so I would like to review it through exercises.
I didn't know what the amount of information was, but I was surprised to learn that the ambiguity was reduced, and I was impressed that it could be expressed numerically. """,-2
C-2021-1_U101,,"""We found that the reduction in ambiguity (choices) by repeating questions is expressed as 'the amount of information obtained', and the ambiguity is expressed as U(M). We also found that knowing the occurrence of an event with probability P reduces the ambiguity to -logp. From this fact, knowing that a 1 came out by rolling the dice and knowing that a 1 came out out of the 1st place will know which one came out.""",,"""If U(S) = H(S), H(s) = expected value of information amount, then H(s) = expected value of information amount?""",,-2
C-2021-1_U103,,"""I now have a rough understanding of entropy""","""I didn't really understand the proof""","""Nothing in particular""",,-1
