id,1,2,3,4,5,target
B-2020_U1,"""It was my first time in an online class, so I had some concerns, but I was able to understand how to proceed in the future, and my motivation for the class increased.""",,"""I wasn't able to prepare for lessons such as drawing lines in advance study, so from next time I want to check the materials thoroughly before class.""",,"""Although it is an online class, I would like to continue studying so as not to lose my concentration.""",-3
B-2020_U1,"""It was my first time in an online class, so I had some concerns, but I was able to understand how to proceed in the future, and my motivation for the class increased.""",,"""I wasn't able to prepare for lessons such as drawing lines in advance study, so from next time I want to check the materials thoroughly before class.""",,"""Although it is an online class, I would like to continue studying so as not to lose my concentration.""",-3
B-2020_U1,"""It was my first time in an online class, so I had some concerns, but I was able to understand how to proceed in the future, and my motivation for the class increased.""",,"""I wasn't able to prepare for lessons such as drawing lines in advance study, so from next time I want to check the materials thoroughly before class.""",,"""Although it is an online class, I would like to continue studying so as not to lose my concentration.""",-3
B-2020_U10,,"""Be careful about reusing passwords and providing information
Attacks using supply chains are increasing
Security by design needs to spread.""",,,"""Even if I listened to the story while looking at the slides, I would temporarily stop thinking when I came across words written in horizontal letters that I didn't know.""",0
B-2020_U10,,"""Be careful about reusing passwords and providing information
Attacks using supply chains are increasing
Security by design needs to spread.""",,,"""Even if I listened to the story while looking at the slides, I would temporarily stop thinking when I came across words written in horizontal letters that I didn't know.""",0
B-2020_U11,,"""I was able to understand what kinds of attacks threaten us. I also learned about the dangers of reusing passwords and the dangers of information being leaked by someone other than myself.
I found out that the country is also moving about security measures.
""","""I was a little confused as to why security-by-design hadn't been widely adopted.""",,,1
B-2020_U11,,"""I was able to understand what kinds of attacks threaten us. I also learned about the dangers of reusing passwords and the dangers of information being leaked by someone other than myself.
I found out that the country is also moving about security measures.
""","""I was a little confused as to why security-by-design hadn't been widely adopted.""",,,1
B-2020_U12,"""Three points to note when setting a password: 'Long as possible', 'Hard to guess', 'Do not reuse'
Comprehensive security measures are important in the supply chain.
Security-by-design, a method of considering information security from the planning and development stages, is effective, but it also has the aspect of being difficult to implement. ""","""I didn't know anything about supply chains, so today's class helped me understand.
I found something to be careful about passwords. """,,,,-3
B-2020_U12,"""Three points to note when setting a password: 'Long as possible', 'Hard to guess', 'Do not reuse'
Comprehensive security measures are important in the supply chain.
Security-by-design, a method of considering information security from the planning and development stages, is effective, but it also has the aspect of being difficult to implement. ""","""I didn't know anything about supply chains, so today's class helped me understand.
I found something to be careful about passwords. """,,,,-3
B-2020_U13,"""About cyber incidents and passwords and security by design as countermeasures.""",,,,,1
B-2020_U14,"""Current Status of Information Security Incidents and Countermeasures in Japan""","""I learned that methods that exploit individual weaknesses, such as password management, are rampant.""",,,"""Since many of the damage could have been prevented if we had known about the past, and because of the weaknesses in the supply chain, I felt the need to convey the wonders of information devices and the use of the Internet to more people.""",1
B-2020_U14,"""Current Status of Information Security Incidents and Countermeasures in Japan""","""I learned that methods that exploit individual weaknesses, such as password management, are rampant.""",,,"""Since many of the damage could have been prevented if we had known about the past, and because of the weaknesses in the supply chain, I felt the need to convey the wonders of information devices and the use of the Internet to more people.""",1
B-2020_U14,"""Current Status of Information Security Incidents and Countermeasures in Japan""","""I learned that methods that exploit individual weaknesses, such as password management, are rampant.""",,,"""Since many of the damage could have been prevented if we had known about the past, and because of the weaknesses in the supply chain, I felt the need to convey the wonders of information devices and the use of the Internet to more people.""",1
B-2020_U15,"""IPA is an organization that supports Japan's national IT strategy. Some of the recent security incidents have new techniques, but some can be prevented with conventional measures. Use passwords that are long and difficult to guess, and do not reuse them. It is important to do.In the supply chain, which is a commercial flow by outsourcing work, it is necessary to take security measures as a whole.The government has also come up with a cyber security strategy.Security by design is planning. It is necessary to consider information security in advance at the stage of , but it has a short history and is difficult to spread.""",,,,,1
B-2020_U16,,,,,"""As shown in (3) in the last quiz, I had a misunderstanding about how to handle passwords, so I would like to review and re-understand it before going to the self-study class.""",0
B-2020_U17,"""Information security-related crimes are increasing year by year. This is due to individual carelessness and disregard for security.In order to prevent it, administrative agencies such as IPA are continuing educational activities. If you take it lightly, it may lead to information leaks not only for yourself, but also for others and other companies, so the government is working on cyber security strategies, such as announcing security guidelines.""",,,,,0
B-2020_U19,"""Security threats have not changed much, but the history of security measures is still short, and the damage has not subsided. It is important to find issues in measures that are still in the stage of trial and error, such as security by design."" It's important.""","""I realized that there are still many challenges in cyber security. I also realized that I need to learn from this lecture.""",,,,0
B-2020_U19,"""Security threats have not changed much, but the history of security measures is still short, and the damage has not subsided. It is important to find issues in measures that are still in the stage of trial and error, such as security by design."" It's important.""","""I realized that there are still many challenges in cyber security. I also realized that I need to learn from this lecture.""",,,,0
