userid,1,2,3,4,5,target
C-2021-1_U10,,,"""What exactly do we need to do to call it open data?""",,,-2
C-2021-1_U100,"""What methods are available for collecting data, research methods, and biases. About personal information.""",,,,,-2
C-2021-1_U101,"""There are various methods for collecting data for surveys, and depending on the situation, it is important to use the appropriate method. The first method is a complete survey. This method is the most ideal method. , It is not suitable to use this survey method when the number of the population is large.The next method is sample survey, but since this is done by independent judgment, the sample often does not represent the population. This is called sample selection bias.Be aware that the media may arbitrarily apply sample selection bias in street surveys, etc.In addition, personal information is data that is appropriately protected.Personal information is not only a name, but any information that can identify an individual is personal information.In cases where personal information is disclosed to a third party, there is anonymously processed information that is processed personal information.The data that should be disclosed is: There is open data, and it is used in various places such as the government.""",,,,"""Even if I study in university classes from now on, the handling of data will become important, and even if I go out into society in the future, the handling of personal information will be important, so this class is very important. I felt.""",-2
C-2021-1_U102,,,"""Terminology such as sample selection bias and significance sampling seems confusing.""",,,-2
C-2021-1_U103,,,"""None in particular.""",,,-1
C-2021-1_U104,"""I learned about personal information, how it is collected, the risk of bias, the relationship with the law, and the existence of open data.""",,,"""What do you mean by data modification?""","""In today's class, I learned that surveys and open data conducted by national and local governments are useful for disaster prevention and connected to regional development. We will also be involved in future activities regarding data handling. I think that is unavoidable, so I want to study hard.""",-1
C-2021-1_U105,"""In data collection for surveys, there is a complete survey that examines the entire population. If that is not possible, there is a sampling survey. A sampling survey can be divided into two methods: significant sampling and random sampling. So-called open data also includes public data that is conditional, secondary-usable, machine-readable, and freely available.""","""As a disadvantage of the significance sampling method, I noticed that even if you intended to extract from the entire population, bias may occur. Data that is only posted on the homepage is copyrighted and is not necessarily open data. You need to check the terms. There is a non-profit organization called Creative Commons Licensing that provides copyright rules.""","""It was difficult to define personal information and classify personal information that requires special care. I also felt that it was difficult to know how far to hide it to make it anonymously processed information. In today's society, it is easier than ever to identify an individual. That's why I thought there might be a lot of information that must be hidden.""",,"""Information bias seems to occur quite easily, and I thought that we should be careful when we want to create or use data.In addition, the information we usually acquire is also biased. I thought it was important to have doubts that it might be something.
,""",-1
C-2021-1_U106,,"""A complete survey is ideal, but it is not realistic because it takes a huge amount of time and effort. Therefore, there is a sample survey that narrows down the survey target to some extent, but it is difficult to select the survey target and there is some bias. It will come out, so be careful.
Open data: 1, secondary use possible 2, suitable for machine reading 3, free public data",,,,-2
C-2021-1_U107,"""How we collect data""","""I got to know the types of sample surveys and the other side of the reported data.""","""Properties of each extraction method""",,,0
C-2021-1_U11,"""The ideal way to collect data is a complete survey, but it is practically impossible with a general statistical survey. Therefore, a sampling survey is conducted, and a significant sampling method or a random sampling method is performed. However, a significant sampling method is used. There is a high possibility of sample selection bias.Of the public data held by administrative agencies, open data is open data that can be used for commercial purposes, is machine-readable, and can be used free of charge.""","""I was able to understand the advantages and disadvantages of data research methods.""","""Nothing in particular.""",,"""I'm glad that I was able to learn about things that I knew about, such as how data is collected and what kind of bias is generated, but I wasn't even aware of it.""",-3
C-2021-1_U12,"""At first, the method of data collection, the overall survey, is the most accurate, but it is almost impossible to achieve if there are many parameters, so it is common to conduct a sample survey. As for personal information and open data, personal information determines the balance between information that should be protected and information that should be used, and open data is public data. You need to check the CC license to see what's next available.""","""It means that the indicators for secondary use of open data can be understood at the CC license level. I understood the importance of the BY notation.
I feel that the spread of open data will lead to the creation of new products using that information, and we will see active movements in various fields such as the market.
""",,,"""Recently, I'm listening to class properly, but I'm not getting good marks on quizzes. It's really hard to read the slight differences in nuances.""",-1
C-2021-1_U13,,"""How is the data being used, and how should we handle the information in the future?""",,,,-2
C-2021-1_U14,,,,,"""I am glad that I was able to learn how to handle data because I think that handling data is very important for me, who is a science major.""",-2
C-2021-1_U15,"""It was a content that can be applied to daily activities""","""I learned more about the world's data""",,,"""I would like to make use of what I learned today""",-2
C-2021-1_U2,"""I learned how to collect data. Because it is sometimes difficult to conduct a complete survey, a sample survey is conducted by removing a portion of the population. Information is biased and sufficient data cannot be collected. In addition, there is open data, which is open data that can be used for secondary purposes and is suitable for machine reading, and the government recommends using it.""",,,,,-3
C-2021-1_U20,,"""In data collection, we learned that if we are not careful, the results may be incorrect and may not be used correctly. Also, when using personal information, it is necessary to be careful, such as anonymizing it. I found out.""",,,,-3
