userid,1,2,3,4,5,target
B-2020_U10,,"""I learned that copyright is not only for the author, but also for the people involved in the work.""",,,,0
B-2020_U13,,,,,"""I would like to think carefully whether I am unconsciously infringing copyright on a daily basis.""",1
B-2020_U14,"""About copyright in intellectual property rights, such as the definition of works and the rights of authors""",,,,,1
B-2020_U15,"""Intellectual property rights include copyrights, industrial property rights and other rights, and copyrights include authors' rights and related rights. Authors' rights are also called copyrights. Furthermore, it is divided into moral rights and property rights.Property rights are also sometimes called copyright.The author's moral rights protect the feelings of the author and are extinguished after death and cannot be transferred.Property rights protect profits. Neighboring rights are the rights of what is conveyed.In principle, permission is required to use the work of others, but there are exceptions.Civil law in cases of infringement of copyright or be punished under the criminal law.""","""I learned that there are different types of copyright. I learned what constitutes a copyrighted work. I learned that the sender has neighboring rights. I learned that there are penalties for copyright infringement."" I found a case where copyrighted works can be used exceptionally.""","""No.""",,,1
B-2020_U16,,"""Learn more about intellectual property and copyright
Criteria for copyrighted works (differences from non-authored works)
Regarding Exceptional Unauthorized Use of Copyrighted Materials""",,,,0
B-2020_U17,,,,"""Why is the protection period set so long only for movies?""",,0
B-2020_U18,,,,,"""With so many illegally uploaded works on the internet, I would like to be especially careful about copyright infringement.""",1
B-2020_U19,"""Rights are granted by law so that people who create something through intellectual creative activities will not suffer misfortune (rights are granted in detail according to the form of the creation). However, the period of protection is limited. Acts that infringe moral rights are, in principle, cracked down, but copyrights and other rights are extinguished and freely used as common property of society as a whole.","""I was able to understand that the reports and impressions I wrote were also copyrighted. I realized that society has created a place for free creative activities.""","""I didn't understand the meaning that it is said that moral rights should not be infringed even after they are extinguished.""",,"""I felt that it is important not to infringe on copyrights and to assert copyrights when conducting research from now on. There are many things I do not understand about copyrights even after class, and my knowledge has not been established, so I need to prepare more. I wanted to spend time on",0
B-2020_U21,,,"""Because I thought I knew what wasn't copyrightable and didn't bother to check it, I overlooked the part where the idea was not included in the copyrightable work.""",,"""I didn't know that people who deserve movie copyrights and authors are a little different from other works, so I'm glad I had this opportunity to learn.
I thought I'd check it out in detail myself because it's very important about the cases where you can use it without permission. """,-1
B-2020_U22,"""Copyright law stipulates the rights of authors and works in considerable detail, and clearly describes the actions to be taken in the event of violation.""",,,,,1
B-2020_U23,"""One of the intellectual property rights is the copyright. The copyright is generated at the time the work is created, and the author's moral rights and copyright (property rights) are granted.""","""Copyright does not apply to ideas or data. Also, related rights are involved in works created by multiple people.""",,"""Are videos posted on YouTube subject to copyright?
""",,0
B-2020_U24,,,,,"""Copyrights are not only related to the Faculty of Design, but also to citations of other people's papers, so I learned a lot. When I use other people's works, I try to pay attention to copyrights.""",0
B-2020_U26,,,,,"""Recently, with the development of SNS, there are many publications and reprints of copyrighted works.",0
B-2020_U27,,,,,"""Nowadays, the Internet is widespread, and I think that there are many cases where movies and music are uploaded in illegal ways, but considering copyrights, if you can determine whether it is illegal or not, I will continue to do so. I decided not to watch it.""",-1
B-2020_U29,"""Copyright, one of the intellectual property rights, is regulated in detail by the Copyright Act.""",,,,,1
B-2020_U30,"""Copyright""",,,,,1
