userid,1,2,3,4,5,target
B-2020_U15,"""The Basic Act on Cyber ​​Security indicates the basic principles and responsibilities of the government regarding cyber security. The Act on Prohibition of Unauthorized Access Acts prohibits unauthorized access acts such as unauthorized acquisition of passwords. Unsolicited emails are cracked down by laws related to appropriateness, etc. Unfair competition laws promote the exchange of data.Personal information is something that can be combined to identify an individual, which is different from privacy.Dos attack (F5 repeatedly) and malware attacks are crimes punishable by criminal law. The same applies to falsification and unauthorized use of cash cards.""",,,,,1
B-2020_U16,,,,,"""While the information society is controlled by a number of laws, such as those mentioned in this class, there are still cases of information leaks and cyberattacks, and there are people who break the law in every way possible. It is controlled. In reality, many people and organizations are being punished, which is the same thing in real life.As technology advances, tricks that easily bypass items stipulated by law appear. Precisely because it is expected that the law will continue to grow, I thought that further strengthening of the legal system would be required not only in Japan but also in the whole world. As a countermeasure, based on information ethics, it is necessary to stick to the attitude of judging good intentions by yourself.In recent years, personal information leaks such as exchanging messages with others and exposing addresses on the Internet are becoming more common. Patterns are increasing, and that's why I think it's necessary to handle information with correct knowledge.""",0
B-2020_U17,"""With the advent of IT, the Basic Act on Cyber ​​Security was enacted in 2015, and was later revised in 2016 and 2018. The Cyber ​​Security Council was established to facilitate smooth information sharing by connecting experts with business operators and administrative agencies. In addition, illegal access has been prohibited by law since before, and specific penalties have been established. At the same time, the Unfair Competition Prevention Law and the Personal Information Protection Law, which had been enacted before, were also revised from the viewpoint of information protection. There are cases where it is done.""",,,,,0
B-2020_U19,"""In order to protect information, the strengthening of encryption technology and the increase and diversification of security threats have been repeated. Laws have been created to improve convenience while protecting information. Laws are not the only way to protect information. There is also a mechanism for this, and anonymously processed information can be said to be a mechanism that provides a sense of security even when personal information is managed by others in an information society.","""Hearing DoS attacks reminded me of DDoS attacks (abusive use of IoT) that I learned about in information security threats. I was able to learn laws to protect information and privacy.""","""I couldn't imagine a system for electronic signatures.""",,,0
B-2020_U21,,,"""I felt that the content was a little difficult because of the law.""",,"""I didn't know much about the law, so it was a little difficult, but it's very important, so I worked hard to understand it properly.""",-1
B-2020_U22,"""Prohibitions and ideals regarding cybersecurity in general are clearly specified in the law. Also, every time a gap in the law is discovered, the law is thoroughly revised.""","""I learned that there are many types of laws related to cyber security, and that each of them clearly stipulates prohibited matters in detail. I realized that I didn't understand so much about.""",,,"""As we live in today's increasingly information-oriented world, we should have a solid understanding of the laws we learned today, so I wanted to research them myself and gain a deeper understanding.""",1
B-2020_U23,,"""There are many laws related to information security, including the Basic Act on Cyber ​​Security. These laws did not exist in the past, and are unique to the modern age when the Internet has spread.""",,,,0
B-2020_U24,,,"""A lot of laws are fragmented, and I can't say I fully understand each one.""","""Nothing in particular.""","""It was difficult to understand the content of the law because it was difficult to understand, but thanks to the link you posted, I think I can advance my understanding. Thank you very much.""",0
B-2020_U26,,,"""Cyber ​​Security Council, Mechanism for Global Cooperation""",,"""I was surprised at the fact that depending on the combination, it could become personal information.""",0
B-2020_U27,,"""Even if you just store the information when someone else signs in, you will be punished. Specific e-mail has a method that allows the recipient to refuse to receive the e-mail even before receiving it.""","""Nothing in particular.""",,,-1
B-2020_U31,,"""We found that personal information includes not only names, addresses, and phone numbers that we knew, but also information that can be used to identify an individual by combining multiple items.""",,,"""Through the law, I learned about the necessity of cyber security and what kinds of attacks can be considered. Also, all of them are being revised repeatedly, and I think that new dangers continue to increase. I wanted to know about the latest cyberattacks by watching the news.""",1
B-2020_U32,"""The Basic Act on Cybersecurity was enacted to define the basic principles of cybersecurity and clarify the responsibilities of the government, as cyber threats have become more sophisticated and serious, and the need to strengthen the national system has arisen. The Act on Prohibition of Unauthorized Access Acts, etc. prohibits the provision of other people's passwords to unauthorized persons, the provision of unknown passwords, unauthorized request for password entry, etc. DoS attacks against others will be charged with obstruction of business such as damage to computers under the Penal Code.In addition, distributing malware will fall under the category of fraudulent orders and electromagnetic records.Protection of personal information The law obliges not only large companies but also neighborhood associations, residents' associations, school alumni associations, etc. to comply with the rules for handling personal information.","""It turns out that just hitting the F5 key repeatedly is a crime.""",,,,0
B-2020_U33,,"""According to the development of modern information technology, the law to crack down on unfair acts has also evolved.""",,,,0
B-2020_U34,"""Cybersecurity-related laws include the Basic Act on Cybersecurity, the Act on Prohibition of Unauthorized Computer Access, etc., the Unfair Competition Prevention Act, and laws on personal information (names, dates of birth, and other information that can identify specific individuals). These laws have been recently revised in line with the development of the Internet.In 1987, three new laws were added to the penal code for computer crimes, including the crime of sabotage and destruction of computers. There are the Telecommunications Business Law, which protects the secrecy of communications, and the Wired Telecommunications Law.""",,,,,1
B-2020_U36,"""Know various laws related to cyber security""",,,,,1
B-2020_U38,"""Various rules and laws, including the Cyber ​​Security Basic Act.""","""As you said when you talked about electronic signatures, I felt that there is a vulnerability that makes it difficult to verify your identity in various ways compared to analog signatures.I also know that there are really many laws. Of course, I don't like people who commit illegal acts, but I strongly felt that protecting one's information is becoming more important.""",,,,0
B-2020_U4,"""The Basic Act on Cybersecurity sets out the basic principles of cybersecurity and has been amended several times to make the national cybersecurity strategy more versatile.
Unauthorized access acts such as unauthorized acquisition, unauthorized request, unauthorized storage, and phishing of another person's identification code are prohibited by law. Defensive measures for access administrators are obligatory efforts.
The Law Concerning Specified Electronic Mail stipulates the opt-in method, display obligation, and so on.
Unfair competition laws also apply to data, making competition fair.
Personal information includes information that can identify an individual by matching it with other information, and its handling by individuals, companies, and governments is stipulated by law.
Criminal law and telecommunications laws aim to ensure the safe management of data. """,,,"""Is it easy for the government to identify individuals from logs etc. as a cyber countermeasure?""","""I feel complicated because data is handled in an invisible way, but if you are conscious of data as one of your possessions and property, I don't think you will be involved in crime.
Knowing the law raises awareness of cyber security. """,1
B-2020_U40,"""There are various laws regarding the Internet, and they keep the Internet safe to some extent.""",,,,,1
B-2020_U41,"""There are many laws to protect cybersecurity, each protecting a different area while policing and deterring bad behavior.

""","""A DoS attack is a nuisance that overloads a server by repeatedly reloading a web page more than necessary.
Personal information is unique information that can identify an individual, such as name and address, and privacy is information about private life and secrets that you do not want others to know. """,,,"""There are quite a lot of laws related to cyber security, and I was confused. I thought it was almost impossible.It overlaps with my previous impression, but I thought that such a complicated law that we are not usually aware of protects our comfortable use of information.""",-1
B-2020_U43,"""Some laws are set to protect information, and penalties and fines are imposed.""",,,,,1
B-2020_U44,,"""I learned about law""",,,,-1
B-2020_U45,,"""Personal information = not privacy.""","""I didn't quite understand the first half of the slides.""",,,0
B-2020_U46,"""There are various laws related to cybersecurity, including the Cybersecurity Basic Act. First, the Cybersecurity Basic Act establishes basic principles. In addition, there are various laws such as laws concerning prohibition of unauthorized computer access, laws concerning proper transmission of specified e-mail, unfair competition prevention laws, laws concerning personal information, criminal laws, radio laws, etc. In addition, many have been revised in recent years.""","""The basics of cybersecurity-related legislation have been suppressed.""",,,"""There was a lot of text this time, so it took me a while to review. Laws are often mixed up, so I want to check it over and over again.""",1
B-2020_U5,"""The content is to know and learn about laws concerning the protection and use of information.""","""I found that even the moral content that I thought was obvious was enshrined into law in detail.In addition, it was revised as appropriate in accordance with the flow of time, and the frequency of revisions was higher than I thought. I found out.""","""Even when I hear the name of the law, I often don't understand what it refers to, so I thought it was necessary to understand it with concrete examples.""",,,0
B-2020_U50,"""Cybersecurity Basic Law is a compilation of basic policies and national responsibilities related to cybersecurity. Based on this, there is a movement to enact laws against various types of crimes and update them to make them better. be.""","""It turns out that security laws are being updated in the same way as electronic devices.""",,,"""It was difficult to fully understand and grasp, so I thought I'd definitely review it.""",0
B-2020_U53,,,,,"""I realized that I hadn't been very conscious of the difference between personal information and privacy until now. I had a relatively light image of crimes on the Internet, but it was surprising that not only fines but also imprisonment would be imposed. .

It is helpful to be able to attend classes 10 minutes before class. thank you! """,1
B-2020_U54,"""I learned about information security related laws.""",,,,"""When I think of law, I used to think of things like murder that I often hear about in the news, but I learned that there are so many laws related to information security. I think it will increase, so I want to live my life with an awareness of the importance of information so that I won't forget what I learned today.""",0
B-2020_U55,,"""At the Information Companies Association, I learned that there are many laws that stipulate criminal penalties to prevent fraud. I thought I had to be careful not to.""",,,"""It was very good because I was able to know in detail what was wrong by presenting specific laws about information-related things that I had been casually told not to do.""",0
B-2020_U58,"""Understand various laws related to cyber security.""","""I learned that companies are protected by various laws.""","""There were so many laws that it was difficult to understand each one.""",,,0
B-2020_U59,,,,,"""I was surprised that there were so many different laws. There are so many laws that are stipulated so that there are no loopholes, but I wondered if there were people who slipped through them.""",1
B-2020_U6,"""About what laws exist to protect the security of information.""",,,,"""Even in the case of encryption, we learned that it would be difficult to improve the performance because the technology is advancing rapidly, but the law also needs to be able to respond to new methods that are constantly emerging. I thought it would be difficult.""",1
B-2020_U60,"""Information Security Law
Prohibited acts and penalties""",,,,,0
B-2020_U62,,,,"""Nothing in particular""",,0
B-2020_U64,,"""There are various laws related to information security""",,"""What is a DoS Crime?""",,-1
B-2020_U65,,"""DoS attacks sometimes bring down servers, and the law has been revised many times to enhance regulations.""","""Understanding the details of each law""",,,0
B-2020_U66,,"""There is a difference between 'personal information' and 'personal information'. """,,"""I'm sorry, I wrote my impressions in the wrong place until now, so I wrote them in the yellow moodle Learning Status Questionnaire. ""","""I was surprised to find that the content of ``personal information'' and ``information about an individual'' is different, because they were all lumped together as ``personal information.'' """,-1
B-2020_U67,,"""I understood deeply.""",,,,1
B-2020_U68,"""I learned about cybersecurity laws.""",,,,"""It's hard to imagine that I will be in a position to handle personal information, but if that happens, I will pay attention to this law. Also, although I may not be aware of it, I am often caught on phishing sites. I wondered why I didn't see people.""",1
B-2020_U69,"""Many types of laws have been created for cybersecurity and are revised from time to time to deal with new crimes.""",,,,"""I understood the flow of the story, but I didn't quite understand the content of the slides themselves.""",0
B-2020_U71,"""There are various laws regarding security, etc., and you must be very careful.""",,,,,-1
B-2020_U74,,,,"""Nothing in particular.""","""Since we are usually protected by the law, I thought that we must also protect ourselves. For that reason, I would like to understand the law more.""",-1
B-2020_U76,"""Laws on Security Issues""","""Rough understanding of laws, etc.""",,,,0
B-2020_U77,,"""I learned more about the above""",,,,0
B-2020_U79,,"""I learned how the law protects me from various crimes.""","""Since we're talking about law, I don't think I fully understand it.""",,"""The content was quite difficult, but I decided to review it properly.""",0
