userid,1,2,3,4,5,target
C-2021-1_U100,,,,,"""In pattern recognition, thinking about what it means to identify an object is difficult because people have different thoughts and ideas, but I thought it would be interesting.""",-2
C-2021-1_U101,"""Structured data is data that can be expressed in tabular form, and unstructured data is data that cannot be expressed in tabular form, such as images and sounds. There are various methods of processing unstructured data. , language processing that processes language data, image processing that processes image data, and music processing that processes sound.Also, pattern recognition is difficult for computers but easy for humans.The basics of pattern recognition by computers The principle is to pre-register the computer and look for images similar to it.""",,,,"""I didn't fully understand deep neural networks from the previous explanation of deep neural networks, but this time it was interesting because I felt like I understood a little by combining deep neural networks and pattern recognition. """,-2
C-2021-1_U102,,,"""About deep neural networks, you seem to understand the explanation of pattern recognition, but I still don't understand.""",,,-2
C-2021-1_U103,,,"""None.""",,,-1
C-2021-1_U104,,"""I was able to understand how images and sounds are converted into data, and the relationship between that and mathematics. Also, I understood how the automatic XX machines, which I often hear about recently, judge the situation. rice field.""","""I could imagine 1-, 2-, and 3-dimensional vectors, but I couldn't imagine a 10,000-dimensional vector (is it wrong to think like an arrow?)""",,,-1
C-2021-1_U105,"""Data can be divided into structured data in tabular form and structured data such as sentences, images, and sounds. Processing of unstructured data includes three types of processing: language processing, audio processing, and image processing. For various data, the method of guessing what it is is called pattern recognition.""","""Natural language processing is a technology that analyzes language data, and frequently used languages, translation, and retrieval are some of them. This example is just a character string, but it can be used to analyze meaning and emotions. There are also technologies such as: Image data is represented by vectors.Speech data analysis includes speech recognition, emotion recognition, speech synthesis, etc.Sound data also includes three types: human voice, music, and environmental sounds. It can be split into two.""","""I didn't quite understand why image data is represented by vectors. I don't really understand the concept of 49-dimensional vectors.""",,"""In image data processing, I was very surprised that a four-million-dimensional vector was generated at the moment the shutter was pressed, and I was reminded of the wonders of modern technology. I felt the complexity and variety of ways of thinking.It is true that humans can think about various things by combining various factors, knowledge, and experiences from a single photo, but it is difficult for computers to do so. I reaffirmed that. I realized the importance of human thinking ability.""",-1
C-2021-1_U106,,,,,"""I felt that the accuracy of translation had improved compared to before, but I was surprised to find that the method of processing itself had changed.""",-2
C-2021-1_U107,,"""How to analyze unstructured data.""","""Vector Descend""",,"""I heard that there are things that are easy for humans but difficult for computers.",0
C-2021-1_U11,"""Typical examples of unstructured data include sentences, images, and sounds. For language data, there is a technology called natural language processing, and examples include processing and translation of frequently occurring languages. Images are represented by vectors. Voice. Data analysis includes speech recognition, speaker recognition, emotion recognition, speech synthesis, etc. There is also pattern recognition that guesses what it is for various data.""","""I was able to understand the techniques used around me for processing unstructured data. I was also able to understand the mechanism of pattern recognition.""","""Nothing in particular.""",,"""I learned about various data processing methods in this class, so I want to organize them and memorize them.""",-3
C-2021-1_U12,"""About specialized types of AI. Examples of AI utilization in commerce, etc. Understanding AI as a function. Problems of AI.""","""Thinking about weak AI. I think the idea that if you don't think, you can't say you're intelligent.""",,"""I wrote the 9th diary in the 10th. The 10th diary will be written in the 9th.""","""The field of AI is so advanced that I used to worry about the future, wondering when we would lose our jobs and be ruled by AI. After taking this class, I realized that AI is playing an active role in many ways. However, since it supports the current service and information industries, I would like the AI ​​field to develop while considering a good balance.The idea of ​​taking away human jobs has disappeared.""",-1
