userid,1,2,3,4,5,target
B-2020_U10,,,,,"""I couldn't concentrate for a while because the elementary school students were playing around in the neighborhood.""",0
B-2020_U13,,"""I was able to understand the difference between symmetric key cryptography and public key cryptography, and how they are devised to protect information.""","""The way TLS works was difficult.""",,,1
B-2020_U15,"""Information security is to maintain confidentiality, safety, and integrity. There are two types of cryptography: common key method and public key method. Common key method has been used for a long time, and public key method is currently It is widely used, such as being applied to digital signatures in information communication.There is also a combination of the common key method and the public key method.Based on the principle that it must be safe even if information other than the private key is known. Therefore, ciphers with physical security, information-theoretic security, and theoretical security have been considered.""",,,,,1
B-2020_U16,,,,"""There were parts that were difficult to understand in the figure regarding the hybrid method of symmetric key cryptography and public key cryptography. Please tell us specifically how you are using it.""",,0
B-2020_U18,,"""I understand well how common keys and public keys work.""",,,,1
B-2020_U19,"""Until modern times, cryptography has continued to develop slowly to protect information from further threats. Understanding cryptography requires an understanding of confidentiality, integrity, availability, common key schemes, and public key schemes. is important.
- Confidentiality: Prevent information from leaking to the outside by restricting access.
• Integrity: Keeping information safe. ensure the status.
・Availability: Ensuring convenience that internal personnel can freely use.
・Shared key method: A method that has been around for a long time. Keys need to be pre-shared and pose risks as to whether they can be shared securely. Information flows quickly.
・Public key method: Encryption and decryption keys are required, and there is no risk of sharing keys in advance. Can be controlled by private key. It takes time to go back and forth with information.
(Both types have their own merits and demerits. There is also a hybrid type that incorporates two key methods to increase security.)""","""I was able to learn about encryption methods. I was able to understand the history of encryption, methods, and the advantages and disadvantages of each form.""","""I have been using cryptography on the Internet unconsciously. There are many things I don't know about cryptography that is actually used around me.""",,,0
B-2020_U20,"""Understand how cryptography is used today and what methods are available.""",,,,,0
B-2020_U21,,,,,"""I didn't know that the s in https was for security, so I decided to pay attention to the security of the site when I browse the site from now on. I learned that there are three types of ways of thinking, and that there are codes based on each way of thinking.""",-1
B-2020_U22,"""In order to maintain the security of information, we have considered various cryptographic methods and functions to be used for them. Currently, the most popular method is the hybrid method, which is a common key cryptosystem and a public key cryptosystem. It is a combination of points.""","""There are a huge number of types of cryptography, and it was found that each of them has both good points and bad points. In addition, the security of the private key used has been proved, and the security has been checked many times. I also understand that is being done.""",,,"""Because I was interested in the mechanism of cryptography such as hash functions and the technology itself, I felt that I should investigate it myself.""",1
B-2020_U23,"""Information security consists of the three major elements of confidentiality, safety, and availability, and the balance of these three major elements is important to establish a perfect security system.""",,,,,0
B-2020_U24,,,,,"""I was very surprised that cryptography had become so complicated without my knowing it. I didn't have many opportunities to come into direct contact with cryptography, so I couldn't imagine it. I thought that the person who protected me was amazing.
""",0
B-2020_U27,"""Things that must be maintained in information security, types and mechanisms of encryption""","""It means that authentication is required when creating a public key, etc. Also, even if there is a certificate, it does not mean that you can rest assured.""",,,,-1
B-2020_U28,"""There are various types of ciphers to protect information. Today, ciphers that require a huge amount of time to decipher are used, but since ancient times there have been ciphers that take a long time to be deciphered by others who use wisdom. It has been woven.""","""It turns out that the security systems we use on a daily basis are very precise.""",,,,0
B-2020_U29,"""The three major elements of information security: confidentiality, integrity, and availability
Confidentiality means that only authorized people have access to information
Integrity means that information has not been destroyed or tampered with.
Availability is the ability to access and use information whenever you want to access it
In the common key method, the sender and receiver exchange using a common key.
In the public key method, the sender uses the public key and the receiver uses the private key.""","""Information theoretical security is a security that can never be deciphered One-time pad cryptography
Computational security is security that takes too long to compute and is practically unbreakable
Physical security is security using physical phenomena, such as quantum cryptography
Common key cryptography　Encryption key and decryption key are the same　If the key is stolen in the process of passing the key to the other party, it's over.　Processing is fast.Block cipherStream cipher
Public key cryptography　Encryption key and decryption key are different　No need to pass the key　Processing is slow　RSA encryptionEl Gamal encryption
The recipient first creates a pair of public and private keys, and only the public key is public.When it is sent encrypted, it is decrypted with the private key.
Hybrid method: send the common key using the public key method, then use the common key method
Digital signature Proof of identity using public key encryption inversely
The only difference between the private key and the public key is which one to keep on hand.They can be used even if the roles are switched.
Hash function A function that returns a fixed length hash value from data of a certain length
Mechanism agreement for cryptographic communication of TLS information
Server certificate Have the certificate authority certify whether it is a legitimate public key""",,,,1
B-2020_U31,"""Confidentiality in information security means restricting access, integrity means that information cannot be tampered with or deleted, and availability means that authorized people can access it at any time. Symmetric key cryptography uses the same encryption key and compound key, so processing speed is fast. On the other hand, public key cryptography has the advantage that the encryption key and the composite key are different, and there is no key sharing, and the disadvantage is that the processing speed is slow.""",,,,,1
B-2020_U32,,,,,"""I was worried that the computational security, on which the public key and symmetric key schemes are based, could easily be threatened by the advent of quantum computers.""",0
B-2020_U33,,,"""Public key cryptography was confusing.
""",,"""The cipher story was very interesting.
I looked it up and found a movie about it, so I'd like to see it.
I thought it would be fun to communicate with my friends in the Caesar cipher. """,0
B-2020_U34,,"""It turned out that the padlock symbol that was always displayed on the website indicated that the communication was encrypted.""","""I wasn't sure how TLS worked so I thought I'd do some more research.""",,,1
B-2020_U35,,,"""The names of the keys are similar, it seems to be misleading""",,,0
B-2020_U36,,"""I was able to roughly understand what is being done in everyday casual exchanges on the Internet.""",,,"""It's nice to know the meaning of https, which I've been wondering about for a long time.""",1
B-2020_U37,,"""I found the use of keys in encryption to keep and transmit information securely.""",,,,1
B-2020_U38,,,"""Some of the latter half of the preparation did not catch up, and there are parts where common key cryptography and public key cryptography are vague.""",,"""It was a class that made me fully aware that there are many things that affect cryptography, such as how it is used, the number of people who use it, the amount of data, etc., and that there are suitability and suitability.""",0
B-2020_U39,,"""I found out that the communication of electronic services that I use everyday is protected by various encryptions.""",,,"""I learned for the first time the meaning of ""https"", which I often see when using the Internet. It seems that there are some communications that are not connected, so I decided to use the Internet with caution and not worry about it.""",1
B-2020_U4,"""Information security is about maintaining confidentiality, integrity and availability.
Various cryptographic techniques are used so that security is not compromised even if one of the encryption and decryption methods is known.
Public and private keys are based on the principle of one-way functions. ""","""I thought it was a good example of how mathematics is useful in practice. The Emmanuel cipher was a little impressive.
By knowing the mechanism of common key cryptography and public key cryptography, I was able to understand their weaknesses and security.
I learned that security for security, such as certification of the public key itself and safe delivery of the common key, is important. """,,"""Can the person who created the cipher use the cipher?
Are new ciphers under development? ""","""I'm glad I was able to learn the mechanism of encryption, which I wanted to know the most, although it was superficial.
It may also be interesting to leave forgotten passwords by combining Scatteray ciphers and Caesar ciphers. """,1
B-2020_U40,,"""There are a variety of encryption methods, and each has its own advantages and disadvantages, so it is necessary to respond flexibly depending on which one is emphasized.""",,,,1
B-2020_U41,"""The three principles of information security are confidentiality, integrity and availability.
Confidentiality means that access to information is restricted to authorized persons, integrity means that information is preserved in its entirety, and availability means that information can be accessed at any time. .
There are two types of ciphers: common key ciphers in which the encryption key and the compound key match and public key ciphers in which the encryption key and the compound key do not match, and there are differences in convenience and speed. ""","""I learned that there are various ways, properties, and mechanisms of 'encryption' in cyber security.""",,,"""We don't usually think about it, but I think that the reason why we can use the Internet comfortably and safely is that it is protected by the complicated cryptographic technology that we learned today. I feel that what supports our casual actions is the efforts of many invisible people and the accumulation of knowledge that has been built up so far.""",-1
B-2020_U44,,,,"""Nothing in particular""","""I learned a lot about the importance of cryptography""",-1
B-2020_U45,,"""I learned the meaning of https and the key mark.""","""I'm not sure if the public key method is secure.""",,,0
B-2020_U46,"""Confidentiality, safety, and availability are important in information security. There are four major threats to information security: eavesdropping, impersonation, falsification, and denial. Cryptography is used to protect information from eavesdropping. Various types of cryptography have been used since ancient times, but the most commonly used today are symmetric-key cryptography, public-key cryptography, and hybrids of these. It has unique advantages and disadvantages, which can be compensated for by combining them.In addition, identity verification is also important to prevent spoofing.The public key can also be used as one of the signatures for identity verification.""","""There are various types of cryptography. I was able to deepen my understanding of hash functions, which I learned before.""",,,"""I felt that there were many parts related to the previous secure settings, such as encryption and hash functions. I will review the notes and textbooks from that time.""",1
B-2020_U47,,"""There are two types of cryptography, public key cryptography and common key cryptography, and each has opposite advantages and disadvantages.""","""I couldn't keep up with it because it was difficult from the latter half of the famous stage.""","""I think i phone app is certified by apple, is it still dangerous?""",,0
B-2020_U5,"""Contents regarding necessary conditions and measures to protect information.""","""I was able to learn that there are methods for information protection, such as the public key method and the common key method.
In addition, I was able to understand the meaning of the word information security. """,,,,0
B-2020_U50,,,,,"""I was surprised at how fast the internet speed was and how much the encryption process was.""",0
B-2020_U54,,,"""The cipher system is difficult, and I found it difficult to decide which cipher should be used in which situation. I would like to review the characteristics of each cipher again.""",,"""I was able to learn about various cryptographic mechanisms such as symmetric key cryptography and public key cryptography. I thought it was very important to know how cryptography works in order to protect my own information. I was able to realize that my life is greatly supported by cryptography.""",0
B-2020_U56,,,"""I couldn't understand the details of how each cipher works.""",,"""Since various ciphers were widely and shallowly dealt with, I thought that ciphers are deep.""",-2
B-2020_U57,,"""Cryptography has developed slowly in the past, and has undergone rapid development in recent years, before arriving at today's cryptographic technology. Public-key cryptography is indispensable today.
Common key cryptography and public key cryptography each have advantages and disadvantages. The best and best hybrid method is the most ideal encryption method. """,,,"""It was good to hear about the invention of 'Enigma' that appeared in the textbook, because I was interested in the content of this class because I watched the movie 'Imitation Game' in an information class when I was in high school.""",1
B-2020_U58,"""Understand cryptographic confidentiality, security, and availability.""","""I know what kind of cryptographic key you have.""",,,,0
B-2020_U59,,,,,"""I learned that there are many different ciphers, each with their own advantages and disadvantages. I also learned about the importance of ciphers. I admire people who can create hash functions and other difficult ciphers.""",1
B-2020_U6,,"""It turns out that a lot of technology is used in different ways to protect information.""",,,"""The contents of this time were a little difficult, and I didn't really understand the details of the mechanism, but I was able to understand the mechanism somehow. I thought it would be really difficult.""",1
B-2020_U60,,,,,"""It was interesting to learn about the digital signature system, which has been a hot topic recently.""",0
B-2020_U61,,"""I've heard of the Scytale cipher, the Caesar cipher, and the Enigma.
An encryption key for encryption and a decryption key for decryption are used. """,,,"""From now on, I would like to focus a little more on the things that we usually see, such as certificates and web encryption.""",1
B-2020_U62,,,,"""Nothing in particular""",,0
B-2020_U64,"""Types of security, types, strengths and weaknesses of cryptographic techniques, history""",,"""I didn't understand the mechanism of the hybrid method, which combines the best of common-key cryptography and public-key cryptography.""",,"""I think I'll review again""",-1
B-2020_U65,"""There are four major threats to information, and cryptography is used as security to protect against them. There are common key cryptography and public key cryptography, etc. Each of these has advantages and disadvantages, so I chose the good points. Hybrid schemes are also being considered, making it possible to use public key cryptography to prevent tampering with digital signatures.""","""There are various types of cryptographic keys, not just one""","""How the TLS Protocol Works""",,,0
B-2020_U67,"""Cryptography""",,,,,1
B-2020_U68,,,,,"""I felt that the security of encryption was protected through a complicated process, and I also felt the need to protect information myself.""",1
B-2020_U69,"""Various types of ciphers have been devised to encrypt communications to protect information and to allow quick access to information when needed.""",,,"""Nothing special""","""I felt the need to acquire knowledge that would allow me to understand how the confidentiality of communications is maintained and to avoid Internet troubles as much as possible.""",0
B-2020_U73,"""I mainly learned the methods used to counter the four major threats of cryptography.""","""I understood the difference between the public key method and the common key method, as well as the advantages and disadvantages. I learned that information security is about maintaining confidentiality, integrity, and availability.""","""Slide 35 was difficult to understand.""",,,0
B-2020_U74,,,,"""Nothing in particular.""","""I think it was a little easier to understand because I was able to see what I learned in high school. I felt that the need for encryption technology has increased with the spread of electronic devices such as personal computers.""",-1
B-2020_U75,"""Detailed talk about encryption technology Types and convenience of encryption""",,,,,0
B-2020_U76,"""I learned about cryptography from the past to the present""","""I got an overview of the encryption technology used for security""","""I understood the outline of the encryption technology used for security, but there were some things that I didn't understand in detail.""",,,0
B-2020_U77,"""History and present of cryptographic technology in information security, and trends toward secure information systems""",,,,,0
B-2020_U78,"""History of cryptographic technology, classification of security, explanation of the mechanism of representative cryptographic technology such as symmetric key cryptography and public key cryptography""",,,,,1
B-2020_U79,"""Various cryptographic techniques are used to protect information, and each plays a different role.""","""I learned that the Internet web that I use every day has a certificate and can confirm its safety.""","""Overall, I felt that I didn't understand enough.""",,,0
B-2020_U8,"""Understood confidentiality, availability, integrity, learned the history of cryptography.
In addition, I learned about the security of modern cryptography and the existence of various cryptographic techniques. ""","""I learned that information is protected by combining various cryptographic techniques, and that there are various mechanisms.""","""I didn't understand RSA encryption, El Gamal encryption, etc.""",,,1
B-2020_U80,"""History of cryptography, what types of cryptography exist, security of each cryptography, etc.""","""I was able to re-understand the mechanisms of public-key cryptography and common-key cryptography, which I had almost forgotten.""",,,"""I want to take it seriously next time.""",0
B-2020_U83,,,,,"""I learned about cryptography once in a high school class, but I couldn't understand it at all, so I decided to do it this time and worked hard, so I was able to understand most of the content, so it was very good.""",0
B-2020_U85,"""Unconsciously, our lives are protected by various codes.""","""Common key, public key, signature, hash function""",,,,1
B-2020_U86,"""Encryption technology is used to counter the four great threats. This makes it possible to achieve the integrity and confidentiality of information. Encryption technology has been used for a long time, and has changed over time. A method has been created.""","""I was able to understand how certificates, common keys, and public keys work.""",,,"""I was very surprised and surprised that prime factorization was used for encryption.""",1
B-2020_U87,"""Learning about the need and how to encrypt messages and encrypt communications.
A fairly strong method is required to prevent other people from seeing what you have encrypted. ""","""I learned that as the Internet develops, so does security, such as encryption.
I learned about public key cryptography, network encryption, and the mechanism of public key infrastructure. I had only heard the name before, and had never understood it, so it was very refreshing. """,,,"""This class was a little more difficult than the previous ones and took me a while to understand.""",0
B-2020_U89,,,,,"""There is a system to prevent tampering and eavesdropping, a system to prevent that system from being tampered with, and a system to prevent that system from being tampered with... It seems complicated to see multiple security systems. Of course, if I say something complicated, I can't protect the information, but...""",1
B-2020_U9,"""Maintaining confidentiality, integrity, and availability are the three major elements of information security. It was encrypted and decrypted using a key between them.There are two patterns for that key, the public key method and the shared key method, and since each has advantages and disadvantages, a hybrid type is used.""",,"""I didn't understand the private key, public key, and shared key.""","""Does this mean that private key = shared key and private key = public key?
Also, I think that in the public key method, a public key is created with the private key, the text is encrypted with the public key, and the encryption is decrypted with the private key, but in the shared key method, only the private key is used to encrypt and decrypt. do you mean to transform?
""",,1
B-2020_U92,"""I was told what kinds of cryptography there are and their strengths and weaknesses.


""",,,,,1
B-2020_U94,"""Functionality, Completeness and Availability""","""Mechanism of shared key cryptography and public key cryptography""",,,,-1
C-2021-1_U10,,"""If the codewords are separated by more than s+1, automatic detection of at most s errors is possible.
If the codewords are separated by more than 2t+1, at most t errors can be automatically corrected.
It is possible to reduce the block error rate without reducing the transmission speed.""",,,"""I didn't understand well when I looked at the symbols and calculation formulas, but thanks to the explanations many times through various examples such as names and ant hell, whether or not automatic error detection and correction is possible depends on the Hamming distance. I was able to understand that it was coming.""",-2
C-2021-1_U100,,"""I found out when you can do auto-correct auto-detection and how you can convey information to the other party with less bit flipping.""",,,,-2
C-2021-1_U102,,,"""I didn't quite understand the Hamming distance part.""",,,-2
C-2021-1_U103,,,"""Understanding Channel Coding Theorems""",,,-1
C-2021-1_U104,,,,,"""I didn't understand it well at first, but after reviewing it, I was able to understand it, so I will continue to do my best.""",-1
C-2021-1_U105,"""A bit can flip. You can detect the error, or both detect and correct it. With cubic repetition codes, autocorrection is possible when there are at most 1 flips in a block. But The number of bits sent is tripled.""","""Bits are divided into blocks, and the sequence of bits in the block is called post-coding. Automatic detection of s errors requires s+1 differences in the codeword, and automatic correction of t errors requires 2t+1 differences. It is good if there are individual differences in the codewords.""","""I understood how to reduce the block error rate and not reduce the transmission speed, but I lost sight of the channel coding theorem.""","""The reason why you have to use an odd number of n = 2k + 1 when encoding one code to order n is that if the number of black and white bits in a block becomes the same, it will not be possible to decide by majority vote. mosquito.""",,-1
C-2021-1_U106,"""When passing through a communication channel, there is a possibility that bits may be reversed due to the influence of noise and different codes may be received. Therefore, even if they are reversed, they are designed so that they are not similar to some extent, and countermeasures are taken by automatic detection and automatic correction. .""","""Automatic detection of at most S errors...Hamming distance is more than S+1
Automatic correction of at most T errors... 〃 2T+1 or more away""","""About error correction by repetition code""",,,-2
C-2021-1_U107,,"""automatic error detection
Automatic error correction""","""How far away can it be detected?""",,,0
C-2021-1_U11,"""When a bit string is transmitted through a communication channel, bit inversion occurs due to the influence of noise. Errors can be corrected by Hamming distance and repetition code.""","""If the codewords are separated by more than s+1, at most s errors can be automatically detected, and if they are separated by more than 2t+1, at most t errors can be automatically corrected.""","""I didn't quite understand the channel capacity part.""",,"""I couldn't understand well when it came to formulas, so I want to check each one carefully and deepen my understanding.""",-3
C-2021-1_U12,"""When white and black are reversed due to noise, a mechanism that can correct even if it is slightly different at that time and verify the error""","""Auto-detection and auto-correction can be understood visually and generalized to formulas.""","""at Pb
About how to do it without lowering the transmission speed""","""LGC's approval was not given by the time of class. Will this delay my submission?""","""The reason why entropy is involved in the channel capacity equation is very convincing because it involves both the receiver and the sender.""",-1
C-2021-1_U13,,"""I learned how to make the data I already have my own.""","""Exploring.""","""Nothing in particular.""",,-2
C-2021-1_U15,"""I think it was the hardest thing I've ever done.""","""It turned out that in reality there would be noise.""","""
""",,"""It was difficult, so I want to study again""",-2
C-2021-1_U16,,"""I was able to deepen my understanding of error detection through Goichi-san and Taro-san's examples.""","""I'm having trouble understanding the block error formula.""",,,-2
C-2021-1_U18,"""Since information is transmitted, there is noise that must be dealt with. There are two main methods: error detection and error correction.""",,,,,-2
C-2021-1_U19,,,"""When the information bits (4) > the check bits (3), the check bits will inevitably overlap with ○○○○●○○ and ●○○○●○○, so if the former apologizes and the latter I didn't know how to do the detection when it was received with the information of.""",,,-3
C-2021-1_U2,"""When codewords are separated by s+1 or more, automatic error detection is possible for s errors, and when codewords are separated by 2t+1 or more, automatic error correction is possible for t errors. Reduce the block error rate. If you try, the encoding efficiency will be poor, but by changing the method, you can transmit as efficiently as possible.""",,,,,-3
